date,temperature,humidity,dc_output,energy_kWh
2015-05-22,383.0,1800.0,10764.746,7.785000000000002
2015-05-23,352.7,1884.0,23088.302,13.120000000000001
2015-05-24,356.5,1897.0,10659.312999999998,19.310000000000002
2015-05-25,347.59999999999997,1851.0,15746.307999999999,12.550000000000002
2015-05-26,387.8999999999999,1821.0,22331.861999999997,8.190000000000001
2015-05-27,405.90000000000003,1812.0,24504.703999999998,9.41
2015-05-28,429.20000000000005,1817.0,19413.014999999996,7.950000000000001
2015-05-29,440.2,1761.0,25270.438,14.390000000000002
2015-05-30,399.3999999999999,1605.0,9681.515,7.530000000000002
2015-05-31,379.5999999999999,1668.0,24498.446999999996,13.839999999999998
2015-06-01,377.80000000000007,1885.0,21955.654,19.24
2015-06-02,344.9,1978.0,20822.332,12.98
2015-06-03,359.4000000000001,1802.0,20913.483,10.46
2015-06-04,385.20000000000005,1780.0,20356.163999999997,8.290000000000003
2015-06-05,413.90000000000003,1782.0,12769.23,11.149999999999999
2015-06-06,451.2,1724.0,8843.811000000003,7.890000000000001
2015-06-07,484.19999999999993,1638.0,8570.593,13.509999999999998
2015-06-08,468.80000000000007,1674.0,9502.861,8.830000000000002
2015-06-09,412.2,1689.0,10872.747000000001,7.570000000000002
2015-06-10,412.9,1634.0,14685.188,10.530000000000001
2015-06-11,409.5,1643.0,8358.264,8.530000000000001
2015-06-12,377.2,1401.0,18421.588000000003,7.220000000000002
2015-06-13,362.1999999999999,1698.0,14592.677999999998,10.790000000000001
2015-06-14,406.3999999999999,1723.0,11658.853000000001,19.26
2015-06-15,446.0,1700.0,21376.329999999998,8.360000000000001
2015-06-16,416.9,1503.0,25639.269000000004,11.41
2015-06-17,396.49999999999994,1622.0,24641.094999999998,9.309999999999999
2015-06-18,408.8,1681.0,5857.021,8.12
2015-06-19,395.3,1729.0,17436.733,7.99
2015-06-20,404.5,1621.0,24834.104,12.3
2015-06-21,434.59999999999997,1564.0,24296.471999999998,14.400000000000002
2015-06-22,446.9,1334.0,23943.231,12.410000000000002
2015-06-23,435.1,1389.0,23162.179,8.79
2015-06-24,448.9000000000001,1585.0,16249.903999999999,8.23
2015-06-25,480.69999999999993,1741.0,24850.154,7.3999999999999995
2015-06-26,502.3,1889.0,24776.643,8.01
2015-06-27,518.7,1732.0,23846.002,12.45
2015-06-28,521.2,1696.0,23741.693,15.22
2015-06-29,563.4,1586.0,23610.266,11.309999999999999
2015-06-30,499.2,1703.0,12210.520000000002,9.88
2015-07-01,492.0999999999999,1735.0,21535.221999999998,17.03
2015-07-02,505.39999999999986,1652.0,22173.271999999997,10.02
2015-07-03,494.3,1605.0,19815.642,7.380000000000002
2015-07-04,485.79999999999995,1506.0,19762.231,9.91
2015-07-05,489.4000000000001,1677.0,24901.744000000006,15.149999999999999
2015-07-06,507.59999999999997,1411.0,22543.489999999998,8.980000000000002
2015-07-07,452.20000000000005,1746.0,4497.615,9.089999999999998
2015-07-08,471.8,1758.0,19640.834000000003,7.4300000000000015
2015-07-09,497.29999999999995,1699.0,24914.797,7.7
2015-07-10,453.49999999999994,1718.0,23589.478,6.28
2015-07-11,419.8,1876.0,24093.588,16.87
2015-07-12,443.3999999999999,1911.0,23995.102000000006,13.299999999999999
2015-07-13,465.1000000000001,1718.0,18464.096999999998,12.100000000000001
2015-07-14,450.49999999999994,1745.0,11458.009000000002,7.830000000000001
2015-07-15,445.29999999999995,1737.0,24391.016999999996,9.71
2015-07-16,452.0,1532.0,24062.063000000006,8.540000000000001
2015-07-17,446.3,1695.0,22124.716999999997,9.260000000000002
2015-07-18,496.6,1775.0,21734.324000000004,10.425
2015-07-19,528.6000000000001,1738.0,19379.419,10.82
2015-07-20,477.8999999999999,1679.0,24473.262000000002,16.44
2015-07-21,451.3999999999999,1565.0,24355.054,13.030000000000001
2015-07-22,421.19999999999993,1662.0,23730.046000000002,14.059999999999999
2015-07-23,447.49999999999994,1600.0,23195.219,7.240000000000001
2015-07-24,381.2,2032.0,22755.663,11.630000000000003
2015-07-25,418.7,1721.0,8523.081000000002,11.370000000000001
2015-07-26,380.90000000000003,1883.0,8314.913,18.38
2015-07-27,412.5000000000001,1771.0,22336.813000000006,12.510000000000002
2015-07-28,446.09999999999997,1694.0,6327.021000000001,9.66
2015-07-29,477.4,1716.0,17373.964,9.69
2015-07-30,505.50000000000006,1614.0,16749.197,13.3
2015-07-31,504.69999999999993,1719.0,24327.321000000004,10.43
2015-08-01,494.5,1831.0,14003.502,9.04
2015-08-02,488.9,1883.0,24405.29,14.82
2015-08-03,461.9999999999999,1760.0,24267.717999999997,14.419999999999998
2015-08-04,452.2,1670.0,23640.260000000006,8.17
2015-08-05,391.6,1925.0,23882.023999999998,12.310000000000002
2015-08-06,384.8,1701.0,18414.400999999998,14.120000000000001
2015-08-07,454.09999999999997,1688.0,18743.038,7.370000000000002
2015-08-08,450.00000000000006,1882.0,23345.451,11.58
2015-08-09,440.20000000000005,1678.0,21153.695,10.170000000000002
2015-08-10,456.7,1837.0,9109.604000000001,14.7
2015-08-11,481.5,1851.0,11418.423999999997,9.740000000000002
2015-08-12,495.50000000000006,1791.0,21319.658999999996,11.750000000000002
2015-08-13,484.4,1722.0,23139.054,10.05
2015-08-14,408.7000000000001,1974.0,22928.015,8.350000000000001
2015-08-15,406.9,1824.0,22917.565000000006,15.889999999999999
2015-08-16,418.9999999999999,1784.0,5698.781,15.489999999999998
2015-08-17,433.3,1866.0,13778.345,11.580000000000002
2015-08-18,455.49999999999994,1881.0,23220.814000000002,9.979999999999999
2015-08-19,473.20000000000005,1832.0,22321.93,9.330000000000002
2015-08-20,415.5,1689.0,18463.664,7.44
2015-08-21,425.2000000000001,1583.0,23120.633,9.190000000000001
2015-08-22,429.2,1619.0,18427.221,10.639999999999999
