date,temperature,humidity,dc_output,energy_kWh
2017-08-12,425.8,1739.0,21319.658999999996,14.899999999999999
2017-08-13,423.9,1909.0,23139.054,8.19
2017-08-14,406.1,1700.0,22928.015,17.749999999999996
2017-08-15,419.20000000000005,1791.0,22917.565000000006,7.89
2017-08-16,429.40000000000003,1759.0,5698.781,10.1
2017-08-17,447.00000000000006,1798.0,13778.345,9.06
2017-08-18,428.29999999999995,1754.0,23220.814000000002,12.29
2017-08-19,428.0,1669.0,22321.93,12.55
2017-08-20,418.69999999999993,1719.0,21450.803,7.1
2017-08-21,433.5,1858.0,23120.633,13.58
2017-08-22,503.29999999999995,1758.0,18427.221,20.32
2017-08-23,452.30000000000007,1682.0,19322.492000000006,18.470000000000002
2017-08-24,426.7000000000001,1447.0,23478.285999999996,14.73
2017-08-25,398.7000000000001,1701.0,20239.409,6.7299999999999995
2017-08-26,428.80000000000007,1660.0,22462.044999999995,11.53
2017-08-27,474.6,1828.0,18510.716,20.555000000000003
2017-08-28,490.8000000000001,1856.0,16195.464999999998,29.520000000000007
2017-08-29,537.3,1528.0,15526.313000000002,21.480000000000004
2017-08-30,445.5,1781.0,9320.089,10.159999999999998
2017-08-31,438.4,1886.0,21093.149,12.540000000000001
2017-09-01,437.8,1790.0,20371.868000000006,17.51
2017-09-02,497.2,1515.0,15397.235,17.74
2017-09-03,509.90000000000003,1882.0,18584.671,16.580000000000002
2017-09-04,517.2000000000002,1862.0,5114.624999999999,23.679999999999996
2017-09-05,503.40000000000003,1844.0,21824.219,33.489999999999995
2017-09-06,513.3,1716.0,16833.804,23.44
2017-09-07,463.5000000000001,1984.0,23202.987,13.39
2017-09-08,429.79999999999995,2131.0,16261.939,9.34
2017-09-09,352.3,2044.0,19137.219999999998,6.92
2017-09-10,381.6,1917.0,12240.568000000001,11.069999999999999
2017-09-11,428.2000000000001,1764.0,14555.795,15.03
2017-09-12,409.59999999999997,1956.0,11678.946,9.200000000000001
