date,temperature,pressure,humidity,dc_output,ac_output,weekday,energy_kWh
2019-04-06,222.0,2415.15,1792.0,21513.220999999998,20614.773999999998,Saturday,3.0399999999999987
2019-04-07,231.39999999999998,2433.01,1839.0,14758.317000000003,14092.762999999999,Sunday,1.5500000000000005
2019-04-08,196.70000000000002,2437.209999999999,1978.0,20787.805999999997,19913.423,Monday,1.5700000000000007
2019-04-09,239.29999999999995,2447.95,1880.0,15110.799,14433.748,Tuesday,8.85
2019-04-10,210.3,2456.0300000000007,1984.0,9331.839000000002,8824.008,Wednesday,14.150000000000002
2019-04-11,189.99999999999997,2440.04,2129.0,19862.503999999997,19007.005,Thursday,12.76
2019-04-12,207.0,2439.73,1975.0,15802.395,15102.122000000001,Friday,10.88
2019-04-13,202.19999999999996,2424.7599999999998,1981.0,15351.567,14657.567,Saturday,13.489999999999998
2019-04-14,194.9,2425.48,1691.0,23100.228,22137.888,Sunday,13.09
2019-04-15,185.4,2423.0899999999997,1820.0,24188.989999999998,23180.470999999998,Monday,12.2
2019-04-16,200.5,2433.33,1818.0,14364.687,13710.609,Tuesday,8.18
2019-04-17,271.8,2455.98,1880.0,25234.701999999994,24195.504000000004,Wednesday,8.25
2019-04-18,256.0,2451.48,2201.0,11416.616,10870.522,Thursday,8.5
2019-04-19,268.20000000000005,2434.8500000000004,2122.0,24277.543,23282.827,Friday,14.169999999999998
2019-04-20,248.3,2440.88,1889.0,25353.459999999995,24323.778,Saturday,8.330000000000002
2019-04-21,261.70000000000005,2457.0699999999993,1757.0,23785.734999999997,22810.218999999994,Sunday,9.560000000000002
2019-04-22,236.89999999999998,2456.6499999999996,1997.0,19599.810999999998,18784.937,Monday,5.459999999999999
2019-04-23,270.3,2450.6800000000007,1995.0,4129.2,3759.199,Tuesday,6.280000000000001
2019-04-24,236.1,2462.74,1559.0,18870.328999999998,18076.779,Wednesday,4.13
2019-04-25,220.3,2452.2099999999996,1807.0,23705.92,22738.706,Thursday,12.46
2019-04-26,242.60000000000002,2446.6499999999996,1763.0,25422.539999999997,24391.618000000002,Friday,6.670000000000002
2019-04-27,226.60000000000002,2445.6399999999994,1470.0,26017.216999999997,24962.782,Saturday,9.66
2019-04-28,217.89999999999995,2458.7099999999996,1616.0,24545.638999999996,23551.826,Sunday,11.69
