date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2019-03-10,0,0,0,1,0,0,0,67.10000000000001,2352.69,1754.0,3826.746,3527.1789999999996,20.179999999999996
2019-03-11,0,1,0,0,0,0,0,107.3,2441.85,1737.0,3240.2720000000004,2932.272,22.649999999999995
2019-03-12,0,0,0,0,0,1,0,117.19999999999999,2425.69,2067.0,2700.451,2402.0089999999996,22.599999999999998
2019-03-13,0,0,0,0,0,0,1,139.6,2458.13,1910.0,2398.553,2108.024,22.160000000000004
2019-03-14,0,0,0,0,1,0,0,154.09999999999997,2468.77,1834.0,7121.446,6709.857,33.010000000000005
2019-03-15,1,0,0,0,0,0,0,174.20000000000002,2466.8400000000006,2071.0,15536.202,14858.229,13.399999999999997
2019-03-16,0,0,1,0,0,0,0,164.10000000000002,2461.2700000000004,2049.0,14996.571999999998,14333.637999999999,15.25
2019-03-17,0,0,0,1,0,0,0,169.3,2462.62,2068.0,19467.977,18652.121,15.98
2019-03-18,0,1,0,0,0,0,0,187.60000000000002,2453.93,1940.0,11114.692,10567.907,22.950000000000006
2019-03-19,0,0,0,0,0,1,0,210.50000000000003,2442.06,1801.0,3043.508,2733.068,16.38
2019-03-20,0,0,0,0,0,0,1,218.2,2431.13,1793.0,10669.161,10131.723,20.099999999999998
2019-03-21,0,0,0,0,1,0,0,267.1,2436.9000000000005,1570.0,4907.784,4551.835999999999,24.250000000000007
2019-03-22,1,0,0,0,0,0,0,291.7,2431.4700000000007,1655.0,17397.744,16655.37,15.65
2019-03-23,0,0,1,0,0,0,0,222.6,2449.94,1959.0,5523.104,5141.8189999999995,12.399999999999999
2019-03-24,0,0,0,1,0,0,0,195.30000000000004,2451.7599999999998,1958.0,14477.610999999999,13824.502000000002,18.52
2019-03-25,0,1,0,0,0,0,0,198.5,2434.8599999999997,2024.0,13579.899000000001,12954.99,17.959999999999997
2019-03-26,0,0,0,0,0,1,0,222.99999999999994,2439.6200000000003,1886.0,17755.12,17003.785,19.070000000000004
2019-03-27,0,0,0,0,0,0,1,180.49999999999997,2433.47,1938.0,21984.913999999997,21095.465999999997,18.519999999999996
2019-03-28,0,0,0,0,1,0,0,244.60000000000005,2446.13,1682.0,15309.761000000004,14649.016000000003,15.92
2019-03-29,1,0,0,0,0,0,0,225.60000000000002,2462.2300000000005,1779.0,16657.421,15955.188999999998,18.27
2019-03-30,0,0,1,0,0,0,0,234.09999999999997,2467.9900000000007,1782.0,11360.074999999999,10823.632000000001,18.590000000000003
2019-03-31,0,0,0,1,0,0,0,218.6,2456.6000000000004,1878.0,23079.605,22132.429,21.57
2019-04-01,0,1,0,0,0,0,0,241.0,2440.6400000000003,1850.0,6702.096,6287.2699999999995,20.170000000000005
2019-04-02,0,0,0,0,0,1,0,260.90000000000003,2422.6700000000005,1587.0,11923.306,11363.69,14.700000000000003
2019-04-03,0,0,0,0,0,0,1,265.1,2420.67,1970.0,9614.098,9111.426000000001,14.59
2019-04-04,0,0,0,0,1,0,0,259.99999999999994,2430.3600000000006,1844.0,8110.977000000001,7646.993000000001,13.029999999999998
2019-04-05,1,0,0,0,0,0,0,265.9,2411.0499999999997,1843.0,16930.546000000002,16196.162999999999,23.2
2019-04-06,0,0,1,0,0,0,0,222.0,2415.15,1792.0,21513.220999999998,20614.773999999998,17.07
2019-04-07,0,0,0,1,0,0,0,231.39999999999998,2433.01,1839.0,14758.317000000003,14092.762999999999,19.45
2019-04-08,0,1,0,0,0,0,0,196.70000000000002,2437.209999999999,1978.0,20787.805999999997,19913.423,19.23
2019-04-09,0,0,0,0,0,1,0,239.29999999999995,2447.95,1880.0,15110.799,14433.748,20.41
2019-04-10,0,0,0,0,0,0,1,210.3,2456.0300000000007,1984.0,9331.839000000002,8824.008,19.339999999999996
2019-04-11,0,0,0,0,1,0,0,189.99999999999997,2440.04,2129.0,19862.503999999997,19007.005,19.56
2019-04-12,1,0,0,0,0,0,0,207.0,2439.73,1975.0,15802.395,15102.122000000001,18.91
2019-04-13,0,0,1,0,0,0,0,202.19999999999996,2424.7599999999998,1981.0,15351.567,14657.567,23.57
2019-04-14,0,0,0,1,0,0,0,194.9,2425.48,1691.0,23100.228,22137.888,25.08
2019-04-15,0,1,0,0,0,0,0,185.4,2423.0899999999997,1820.0,24188.989999999998,23180.470999999998,18.31
2019-04-16,0,0,0,0,0,1,0,200.5,2433.33,1818.0,14364.687,13710.609,19.740000000000002
2019-04-17,0,0,0,0,0,0,1,271.8,2455.98,1880.0,25234.701999999994,24195.504000000004,14.540000000000001
2019-04-18,0,0,0,0,1,0,0,256.0,2451.48,2201.0,11416.616,10870.522,18.840000000000003
2019-04-19,1,0,0,0,0,0,0,268.20000000000005,2434.8500000000004,2122.0,24277.543,23282.827,16.16
2019-04-20,0,0,1,0,0,0,0,248.3,2440.88,1889.0,25353.459999999995,24323.778,23.83
2019-04-21,0,0,0,1,0,0,0,261.70000000000005,2457.0699999999993,1757.0,23785.734999999997,22810.218999999994,15.49
2019-04-22,0,1,0,0,0,0,0,236.89999999999998,2456.6499999999996,1997.0,19599.810999999998,18784.937,15.410000000000004
2019-04-23,0,0,0,0,0,1,0,270.3,2450.6800000000007,1995.0,4129.2,3759.199,12.550000000000002
2019-04-24,0,0,0,0,0,0,1,236.1,2462.74,1559.0,18870.328999999998,18076.779,17.71
2019-04-25,0,0,0,0,1,0,0,220.3,2452.2099999999996,1807.0,23705.92,22738.706,21.570000000000004
2019-04-26,1,0,0,0,0,0,0,242.60000000000002,2446.6499999999996,1763.0,25422.539999999997,24391.618000000002,17.07
2019-04-27,0,0,1,0,0,0,0,226.60000000000002,2445.6399999999994,1470.0,26017.216999999997,24962.782,16.62
2019-04-28,0,0,0,1,0,0,0,217.89999999999995,2458.7099999999996,1616.0,24545.638999999996,23551.826,15.019999999999996
2019-04-29,0,1,0,0,0,0,0,244.1,2449.8200000000006,1490.0,25638.314999999995,24599.288999999997,24.37
2019-04-30,0,0,0,0,0,1,0,269.4,2445.91,1281.0,25240.872,24217.936999999998,22.620000000000008
2019-05-01,0,0,0,0,0,0,1,292.8999999999999,2436.95,1346.0,24181.780000000002,23185.587,21.52
2019-05-02,0,0,0,0,1,0,0,291.2,2443.9700000000003,1662.0,19093.691,18266.538,15.990000000000002
2019-05-03,1,0,0,0,0,0,0,281.6000000000001,2446.77,1753.0,10625.498000000001,10079.608,15.059999999999999
2019-05-04,0,0,1,0,0,0,0,281.3,2436.7799999999997,1842.0,9376.253999999999,8862.104,13.29
2019-05-05,0,0,0,1,0,0,0,304.99999999999994,2429.9599999999996,1860.0,23861.513000000003,22883.394,12.75
2019-05-06,0,1,0,0,0,0,0,327.09999999999997,2435.06,1829.0,25142.079,24106.893,11.36
2019-05-07,0,0,0,0,0,1,0,327.2999999999999,2443.31,1810.0,20252.592999999997,19388.568,9.469999999999997
2019-05-08,0,0,0,0,0,0,1,332.20000000000005,2449.64,1886.0,16007.248999999998,15303.558,9.320000000000002
2019-05-09,0,0,0,0,1,0,0,377.4,2441.120000000001,1809.0,23006.743999999995,22035.135000000002,13.710000000000003
2019-05-10,1,0,0,0,0,0,0,409.00000000000006,2428.91,1543.0,18157.612999999998,17377.993000000002,12.210000000000003
2019-05-11,0,0,1,0,0,0,0,400.7,2425.0399999999995,1706.0,18660.853999999996,17839.102999999996,10.780000000000001
2019-05-12,0,0,0,1,0,0,0,330.6,2430.87,1830.0,22670.336,21718.325,10.510000000000002
2019-05-13,0,1,0,0,0,0,0,307.40000000000003,2432.4899999999993,1740.0,23308.738,22336.221999999998,11.72
2019-05-14,0,0,0,0,0,1,0,291.0,2430.4999999999995,2043.0,11733.576,11145.192000000001,12.320000000000002
2019-05-15,0,0,0,0,0,0,1,333.49999999999994,2421.33,1980.0,17508.737000000005,16734.448,10.089999999999998
2019-05-16,0,0,0,0,1,0,0,354.79999999999995,2402.2,2044.0,23423.311000000005,22438.54,15.4
2019-05-17,1,0,0,0,0,0,0,335.29999999999995,2420.03,1718.0,20244.024000000005,19366.482000000004,11.11
