date,hour,energy_kWh
2017-11-24,2,0.1
2017-11-24,3,0.08
2017-11-24,4,0.12
2017-11-24,5,0.08
2017-11-24,6,0.09
2017-11-24,7,0.12
2017-11-24,8,0.1
2017-11-24,9,0.08
2017-11-24,10,0.09
2017-11-24,11,0.08
2017-11-24,12,0.09
2017-11-24,13,0.11
2017-11-24,14,0.27
2017-11-24,15,0.25
2017-11-24,16,0.3
2017-11-24,17,0.5
2017-11-24,18,0.74
2017-11-24,19,0.68
2017-11-24,20,0.35
2017-11-24,21,0.8
2017-11-24,22,0.58
2017-11-24,23,0.33
2017-11-25,0,0.33
2017-11-25,1,0.19
2017-11-25,2,0.09
2017-11-25,3,0.1
2017-11-25,4,0.22
2017-11-25,5,0.14
2017-11-25,6,0.08
2017-11-25,7,0.09
2017-11-25,8,0.09
2017-11-25,9,0.13
2017-11-25,10,0.79
2017-11-25,11,0.35
2017-11-25,12,0.47
2017-11-25,13,0.46
2017-11-25,14,0.31
2017-11-25,15,0.24
2017-11-25,16,0.35
2017-11-25,17,0.25
2017-11-25,18,0.25
2017-11-25,19,0.25
2017-11-25,20,0.17
2017-11-25,21,0.25
2017-11-25,22,0.21
2017-11-25,23,0.12
2017-11-26,0,0.83
2017-11-26,1,2.31
2017-11-26,2,1.07
2017-11-26,3,0.21
2017-11-26,4,0.21
2017-11-26,5,0.1
2017-11-26,6,0.1
2017-11-26,7,0.1
2017-11-26,8,0.08
2017-11-26,9,0.1
2017-11-26,10,0.12
2017-11-26,11,0.29
2017-11-26,12,0.37
2017-11-26,13,0.46
2017-11-26,14,0.3
2017-11-26,15,0.22
2017-11-26,16,0.72
2017-11-26,17,2.22
2017-11-26,18,1.23
2017-11-26,19,0.65
2017-11-26,20,0.38
2017-11-26,21,1.75
2017-11-26,22,1.15
2017-11-26,23,0.19
2017-11-27,0,0.2
2017-11-27,1,0.24
2017-11-27,2,0.1
2017-11-27,3,0.08
2017-11-27,4,0.2
2017-11-27,5,0.25
2017-11-27,6,0.09
2017-11-27,7,0.12
2017-11-27,8,0.28
2017-11-27,9,0.09
2017-11-27,10,0.1
2017-11-27,11,0.09
2017-11-27,12,0.08
2017-11-27,13,0.18
2017-11-27,14,0.09
2017-11-27,15,0.1
2017-11-27,16,0.23
2017-11-27,17,0.2
2017-11-27,18,1.36
2017-11-27,19,1.06
2017-11-27,20,0.65
2017-11-27,21,0.66
2017-11-27,22,0.43
2017-11-27,23,0.41
2017-11-28,0,0.2
2017-11-28,1,0.26
2017-11-28,2,0.24
2017-11-28,3,0.1
2017-11-28,4,0.19
2017-11-28,5,0.25
2017-11-28,6,0.17
2017-11-28,7,0.13
2017-11-28,8,0.19
2017-11-28,9,0.12
2017-11-28,10,0.13
2017-11-28,11,0.18
2017-11-28,12,0.09
2017-11-28,13,0.1
2017-11-28,14,0.25
2017-11-28,15,0.13
2017-11-28,16,0.08
2017-11-28,17,0.4
2017-11-28,18,1.16
2017-11-28,19,0.73
2017-11-28,20,0.59
2017-11-28,21,0.69
2017-11-28,22,0.47
2017-11-28,23,0.34
2017-11-29,0,0.2
2017-11-29,1,0.24
2017-11-29,2,0.25
2017-11-29,3,0.27
2017-11-29,4,0.24
2017-11-29,5,0.24
2017-11-29,6,0.08
2017-11-29,7,0.13
2017-11-29,8,0.18
2017-11-29,9,0.09
2017-11-29,10,0.23
2017-11-29,11,0.1
2017-11-29,12,0.1
2017-11-29,13,0.2
2017-11-29,14,0.19
2017-11-29,15,0.11
2017-11-29,16,0.18
2017-11-29,17,0.17
2017-11-29,18,0.1
2017-11-29,19,0.76
2017-11-29,20,0.57
2017-11-29,21,0.37
2017-11-29,22,0.3
2017-11-29,23,0.35
2017-11-30,0,0.15
2017-11-30,1,0.28
2017-11-30,2,0.28
2017-11-30,3,0.3
2017-11-30,4,0.25
2017-11-30,5,0.11
2017-11-30,6,0.08
2017-11-30,7,0.14
2017-11-30,8,0.23
2017-11-30,9,0.1
2017-11-30,10,0.11
2017-11-30,11,0.2
2017-11-30,12,0.1
2017-11-30,13,0.1
2017-11-30,14,0.14
2017-11-30,15,0.3
2017-11-30,16,0.47
2017-11-30,17,0.49
2017-11-30,18,0.46
2017-11-30,19,0.47
2017-11-30,20,0.44
